name,grade,type,bolts,length,pitches,first_ascent,route_setter,url,area_url
What's Up,V3,boulder,,,,Oli,,https://www.thecrag.com/en/climbing/east-timor/route/2648689818,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Revolução,V4,boulder,,,,Oli,,https://www.thecrag.com/en/climbing/east-timor/route/2648715618,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Plattengrüße,V3,boulder,,,,Oli,,https://www.thecrag.com/en/climbing/east-timor/route/2648734143,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Alter Weg,V1,boulder,,,,Oli,,https://www.thecrag.com/en/climbing/east-timor/route/2648742792,https://www.thecrag.com/en/climbing/east-timor/area/2648683815
Atanasoff Nunatak Southwest Wall,3,unknown,,260m,,,,https://www.thecrag.com/en/climbing/antarctica/livingston-island/route/16335067,https://www.thecrag.com/en/climbing/antarctica/livingston-island/area/14263183
나그네,5.10a,sport,10,25m,1,Jun jinteak,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9677983131,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
사선슬랩,5.10b,sport,7,15m,1,Jun jinteak,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025353,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
전진,5.11a,sport,8,16m,1,Jun jinteak,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025467,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
중앙 기존길,5.10b,sport,8,16m,1,Jun jinteak,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025581,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
아가씨,5.10b,sport,8,17m,1,Jun jinteak,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025668,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
상납,5.10a,sport,10,18m,1,Jun jinteak,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025782,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
하단 2 피치,5.9,sport,13,40m,2,2004,,https://www.thecrag.com/en/climbing/south-korea/dobongsan/route/9678025881,https://www.thecrag.com/en/climbing/south-korea/dobongsan/area/9677071113
Loose flake,6A,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799104977,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Crimps,6B,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799105064,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Tower direct,6B+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799105145,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Aapakaaq arête,6A+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799105226,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
M'Bie,6B+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799105313,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Zip Line,5+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799105400,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Around the corner,5+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799105493,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Feet'UP,4,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799113698,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Downclimb,3,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799113779,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Shelfs,4,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799113860,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Heel'up,4+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799113941,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Shorts,4+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799114022,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Traverse start corner,5+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799114109,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Traverse around,6A+,boulder,,,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799104890,https://www.thecrag.com/en/climbing/arctic-region/area/7799097174
Uluru's revenge,6A,boulder,,3m,,,,https://www.thecrag.com/en/climbing/arctic-region/route/7799138793,https://www.thecrag.com/en/climbing/arctic-region/area/7799122983
And ever,5.8,sport,,,,,,https://www.thecrag.com/en/climbing/panama/route/6067175493,https://www.thecrag.com/en/climbing/panama/area/6065169222
La Ruta Japonesa,5.8,trad,5,80m,3,,,https://www.thecrag.com/en/climbing/costa-rica/route/259744059,https://www.thecrag.com/en/climbing/costa-rica/area/223884903
Positive Way,5.10b,sport,9,30m,,Anuar Hassan & Eduardo Baldioceda,,https://www.thecrag.com/en/climbing/costa-rica/route/259744515,https://www.thecrag.com/en/climbing/costa-rica/area/223884903
A'sh Al-Rokh,16,trad,0,130m,4,CElliott,,https://www.thecrag.com/en/climbing/yemen/route/615810177,https://www.thecrag.com/en/climbing/yemen/area/615809826
Young-Elliott Route,5.11 A1,trad,,350m,12,Ben Young,,https://www.thecrag.com/en/climbing/yemen/route/615811371,https://www.thecrag.com/en/climbing/yemen/area/615809826
Scimitars and Sandals,5.7,trad,,70m,4,CElliott,,https://www.thecrag.com/en/climbing/yemen/route/615812955,https://www.thecrag.com/en/climbing/yemen/area/615809826
The Whip of Issa,5.9,trad,,40m,2,CElliott,,https://www.thecrag.com/en/climbing/yemen/route/615815388,https://www.thecrag.com/en/climbing/yemen/area/615809826
Sakhra Al-Jennat,5.8,trad,,30m,2,CElliott,,https://www.thecrag.com/en/climbing/yemen/route/615816069,https://www.thecrag.com/en/climbing/yemen/area/615809826
Taramosalata,5c+,sport,6,12m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019657940,https://www.thecrag.com/en/climbing/greece/area/4014339903
Σπονδυλοδεσία,6b,sport,,,,,,https://www.thecrag.com/en/climbing/greece/route/6047595807,https://www.thecrag.com/en/climbing/greece/area/4014339903
Τρία Κεριά,5c,sport,,,,,,https://www.thecrag.com/en/climbing/greece/route/6047598903,https://www.thecrag.com/en/climbing/greece/area/4014339903
Χάρακας,5c+,sport,,,,,,https://www.thecrag.com/en/climbing/greece/route/6047600379,https://www.thecrag.com/en/climbing/greece/area/4014339903
ΛΑΟΥ ΛΑΟΥ,5c,sport,,,,,,https://www.thecrag.com/en/climbing/greece/route/13744011597,https://www.thecrag.com/en/climbing/greece/area/4014339903
Άντε Πάλι,5c,sport,7,13m,1,,,https://www.thecrag.com/en/climbing/greece/route/6047601987,https://www.thecrag.com/en/climbing/greece/area/4014339903
Δαρείος,6b,sport,,,1,,,https://www.thecrag.com/en/climbing/greece/route/7089126369,https://www.thecrag.com/en/climbing/greece/area/4014339903
Των συνοδών,6a,sport,8,14m,1,,,https://www.thecrag.com/en/climbing/greece/route/6047604135,https://www.thecrag.com/en/climbing/greece/area/4014339903
Ornela,5c,sport,,18m,,,,https://www.thecrag.com/en/climbing/greece/route/7033914108,https://www.thecrag.com/en/climbing/greece/area/4014339903
Astoxia,5c,sport,,18m,,,,https://www.thecrag.com/en/climbing/greece/route/7033916343,https://www.thecrag.com/en/climbing/greece/area/4014339903
Theatrinos,6a,sport,10,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658015,https://www.thecrag.com/en/climbing/greece/area/4014339903
Kokaliaris,6a,sport,10,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658090,https://www.thecrag.com/en/climbing/greece/area/4014339903
Rimadi,5c,sport,12,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658165,https://www.thecrag.com/en/climbing/greece/area/4014339903
Melabous,6b+,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658240,https://www.thecrag.com/en/climbing/greece/area/4014339903
Trelonio,6a,sport,11,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658315,https://www.thecrag.com/en/climbing/greece/area/4014339903
Eneos,7a,sport,10,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658390,https://www.thecrag.com/en/climbing/greece/area/4014339903
Fainomeno,6c+,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658465,https://www.thecrag.com/en/climbing/greece/area/4014339903
Solo,6c,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658540,https://www.thecrag.com/en/climbing/greece/area/4014339903
Dinamitis,6b+,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658615,https://www.thecrag.com/en/climbing/greece/area/4014339903
Nova,6c,sport,10,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658690,https://www.thecrag.com/en/climbing/greece/area/4014339903
Kokaini,6c,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658765,https://www.thecrag.com/en/climbing/greece/area/4014339903
Klanouarious,7a,sport,10,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658846,https://www.thecrag.com/en/climbing/greece/area/4014339903
Zoara,6a+,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658921,https://www.thecrag.com/en/climbing/greece/area/4014339903
Xa,6a+,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019658996,https://www.thecrag.com/en/climbing/greece/area/4014339903
Nyfoula,5c,sport,10,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659071,https://www.thecrag.com/en/climbing/greece/area/4014339903
Γορίλας,5b,sport,11,,,,,https://www.thecrag.com/en/climbing/greece/route/12113475105,https://www.thecrag.com/en/climbing/greece/area/4014339903
Boulouka,5c,sport,10,25m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659146,https://www.thecrag.com/en/climbing/greece/area/4014339903
Apati,5c,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659221,https://www.thecrag.com/en/climbing/greece/area/4014339903
X,6a,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659296,https://www.thecrag.com/en/climbing/greece/area/4014339903
Moikana,5c+,sport,11,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659371,https://www.thecrag.com/en/climbing/greece/area/4014339903
Ioannis,5c+,sport,11,20m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659446,https://www.thecrag.com/en/climbing/greece/area/4014339903
Douvari,6b,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659521,https://www.thecrag.com/en/climbing/greece/area/4014339903
Nefertiti,6b,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659596,https://www.thecrag.com/en/climbing/greece/area/4014339903
Skili tis Kolaseos,6b,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659671,https://www.thecrag.com/en/climbing/greece/area/4014339903
To-La,6a,sport,,23m,,,,https://www.thecrag.com/en/climbing/greece/route/12519131343,https://www.thecrag.com/en/climbing/greece/area/4014339903
Roadrunner,5c,trad,,,,,,https://www.thecrag.com/en/climbing/greece/route/12565908228,https://www.thecrag.com/en/climbing/greece/area/4014339903
Hionati,6a+,sport,13,28m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659746,https://www.thecrag.com/en/climbing/greece/area/4014339903
Haris Sfougaris,5c+,sport,11,25m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659821,https://www.thecrag.com/en/climbing/greece/area/4014339903
Anais,5c+,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659896,https://www.thecrag.com/en/climbing/greece/area/4014339903
Nyfitsa,5c+,sport,,20m,,,,https://www.thecrag.com/en/climbing/greece/route/12519144900,https://www.thecrag.com/en/climbing/greece/area/4014339903
Teleftaia Stigmi,6a+,sport,11,25m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019659971,https://www.thecrag.com/en/climbing/greece/area/4014339903
Zaratoustra,6a+,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019660046,https://www.thecrag.com/en/climbing/greece/area/4014339903
Gi kai Ydor,5c+,sport,11,23m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019660121,https://www.thecrag.com/en/climbing/greece/area/4014339903
Mao,5c+,sport,10,18m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019673831,https://www.thecrag.com/en/climbing/greece/area/4014339903
Anouvis,6c,sport,10,22m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019674881,https://www.thecrag.com/en/climbing/greece/area/4014339903
Genesis,6a+,sport,11,20m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019676714,https://www.thecrag.com/en/climbing/greece/area/4014339903
Kati tha Ginei tha Deis,5b,sport,9,18m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019677461,https://www.thecrag.com/en/climbing/greece/area/4014339903
Bouzouko,5b+,sport,8,16m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019678835,https://www.thecrag.com/en/climbing/greece/area/4014339903
Ena Apogevma,5a,sport,7,12m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019680254,https://www.thecrag.com/en/climbing/greece/area/4014339903
Anonymous,5b,sport,5,10m,1,,,https://www.thecrag.com/en/climbing/greece/route/4019681190,https://www.thecrag.com/en/climbing/greece/area/4014339903
Salsa base,6a+,trad,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651977920,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Braç de gitano,6b,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978013,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Maleïda gravetat,6b+,sport,,12m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978100,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Carquinyoli,5,trad,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978187,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Zipi Zape,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978280,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
De postres macarrons,6b,sport,,12m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978367,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Bed climb,5,sport,,12m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978454,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
(sense nom ),6a,sport,,8m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/13211328726,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
El placer del dolor,6b+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978541,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Carquinyoli 2,5+,trad,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978628,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
7a,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978721,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Llepa el fil,6a+,sport,3,10m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978808,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
.?,6a,sport,0,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978895,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
..?,5,sport,4,11m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/5651978994,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Curset,5,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455056542,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Space,5,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455056692,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
(10a),6b+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455056785,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
El nom de la rossa,6a+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060175,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
El més mínim esforç,6c,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060268,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Pep man,6b,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060361,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Fisura,5,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060454,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Marabunta,5+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060547,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Mr. Nastika,4+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060640,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Totes són iguals,6c,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060733,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Talco,6b,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060826,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Herpes,6a+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455060919,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Spike,6a+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455061012,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Tampax,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455061105,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Narcís de muntanya,6a+,sport,,15m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455061198,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
La creperia assassina,6c+,sport,,15m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/13211328831,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Tope bwana,6b+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455061291,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Patates amb nata,5+,sport,3,12m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455061384,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
(sense nom),4,sport,3,8m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/8162092014,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Speedo,5+,trad,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065365,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Farigola,5+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065458,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Bastardo,5+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065551,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Synchronisity,7a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065644,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Yo,6b+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065737,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Pròtesi,6c,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065830,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
El pescat bernaire,A3,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455065923,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
El bernat pescaire,6a+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066016,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Fobos,6a+,sport,,15m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066109,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Teràpia de grup,6b,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066202,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Hello Anna,7a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066295,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Angie,6a+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066388,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Deimos,6c,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066481,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Dimensió desconeguda,5+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455066574,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Grapes i birres,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455072409,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Viu l'estiu,5,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455072502,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
6a si fa no fa,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455072595,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
(41),6c+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455072688,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Enfila't al totxo,6c+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455072781,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
(43),6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455072940,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Carpa diga'm,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455073033,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Ibiza mix,5+,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455073126,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Adrià free poll,6a,sport,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455073219,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Diedre clean,5,trad,,,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455073312,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Pax Max,5+,sport,,10m,,,,https://www.thecrag.com/en/climbing/spain/moia/route/455073405,https://www.thecrag.com/en/climbing/spain/moia/area/13210590924
Anushe,5c,sport,6,,,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/846073584,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Mikalanj,6a,sport,6,,,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/846074247,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Soli,5.11b,sport,8,16m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035612822,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Morabbi ( Instructor ),7b,sport,10,16m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035612729,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Ganj,6a,sport,6,,,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/846075267,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Kargadan ( Rhino ),5.12b,sport,5,,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035611949,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Sami,5.12a,sport,5,9m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607797,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Nikta,5.13a,sport,8,13m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607704,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Ati,7a,sport,7,12m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607611,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Bache Tehron ( From Tehran ),5.13a,sport,12,17m,1,artimes farshad,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607512,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Khon Asham,5.14a,sport,16,17m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607425,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Pedaropesar ( Father and the son ),5.13a,sport,13,15m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607326,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
manoto ( Me and You ),5.13a,sport,11,17m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607227,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Adventures of Pinocchio,7b+,sport,10,20m,1,Nasim Eshqi,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607122,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
2 saleha ( 2 years old ),5.10d,sport,10,15m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035607023,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Delbar,7a+,sport,6,15m,1,Nasim Eshqi,,https://www.thecrag.com/en/climbing/iran/baraghan/route/3383290386,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Javaherpour,7b,sport,12,25m,1,Nasim Eshqi,,https://www.thecrag.com/en/climbing/iran/baraghan/route/3383292387,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Haji Firooz,7b/b+,sport,11,25m,1,Nasim Eshqi,,https://www.thecrag.com/en/climbing/iran/baraghan/route/3383294013,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Mr. Nobody,8b,sport,13,25m,1,Nasim Eshqi,,https://www.thecrag.com/en/climbing/iran/baraghan/route/3383299470,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Mano Negah kon ( Look at me ),5.12a,sport,13,20m,1,,,https://www.thecrag.com/en/climbing/iran/baraghan/route/1035606924,https://www.thecrag.com/en/climbing/iran/baraghan/area/846069537
Behind the Rainbow,9+/10-,sport,,600m,16,Stefan Glowacz,,https://www.thecrag.com/en/climbing/venezuela/route/2961274371,https://www.thecrag.com/en/climbing/venezuela/area/2961275691
Lost World,A3,aid,,,,"Hamish MacInnes,  Don Whillans,  Mo Anthoine & Joe Brown",,https://www.thecrag.com/en/climbing/venezuela/route/2961321885,https://www.thecrag.com/en/climbing/venezuela/area/2961275691
Guerra de Luz e Trevas,6° VIIa A3,aid,,650m,,"Marcio Bruno Oliveira,  Fernando Leal & Eliseu Frechou",,https://www.thecrag.com/en/climbing/venezuela/route/2961254724,https://www.thecrag.com/en/climbing/venezuela/area/2961275691
Unnamed 2,V3,boulder,,,,,,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/route/4031476788,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/area/4031476539
Unnamed 1,V3,boulder,,10f,,,,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/route/4031477010,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/area/4031476539
Parker? I Just Met Her!,5.7,top-rope,,40f,,,,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/route/4031477232,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/area/4031476539
Chinese Eyes,5.11,top-rope,,40f,,,,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/route/4031443449,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/area/12703135
The Arete,5.10b/c,top-rope,,40f,,,,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/route/14785831,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/area/12703135
Phantom Fifth,5.11a,top-rope,,45f,,,,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/route/14785855,https://www.thecrag.com/en/climbing/united-states/whipps-ledges/area/12703135
